SALETYPE,SOLDDATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIPCODE,PRICE,BEDS,BATHS,SQFT,LOTSIZE,YEARBUILT,DAYSONMARKET,PPSQFT,HOA,URL,LATITUDE,LONGITUDE
PAST SALE,March-5-2020,Single Family Residential,826 SW 96th Pl,Seattle,WA,98106,475000,3,1.75,1410,1786,2014,76,337,223,http://www.redfin.com/WA/Seattle/826-SW-96th-Pl-98106/home/8187829,47.517076,-122.3463066
PAST SALE,June-25-2019,Single Family Residential,9237 31st Pl SW,Seattle,WA,98126,609000,3,2,1400,5250,2019,330,435,,http://www.redfin.com/WA/Seattle/9237-31st-Pl-SW-98126/home/473701,47.520245,-122.372679
PAST SALE,May-12-2020,Single Family Residential,410 21st Ave Unit A,Seattle,WA,98122,785000,3,2.25,1320,1048,2015,8,595,,http://www.redfin.com/WA/Seattle/410-21st-Ave-98122/unit-A/home/101612057,47.605539,-122.304659
PAST SALE,February-26-2020,Single Family Residential,4350 32nd Ave W,Seattle,WA,98199,690000,3,2.25,1333,642,2017,84,518,,http://www.redfin.com/WA/Seattle/4350-32nd-Ave-W-98199/home/143457727,47.6599949,-122.3981451
PAST SALE,April-24-2020,Single Family Residential,2218 A NW 63rd St,Seattle,WA,98107,839000,3,2.5,1346,1275,2015,26,623,,http://www.redfin.com/WA/Seattle/2218-NW-63rd-St-98107/unit-A/home/59703183,47.674651,-122.3857085
PAST SALE,February-12-2020,Single Family Residential,3656 36th Ave S,Seattle,WA,98144,645500,3,1.75,1459,4080,2014,98,442,,http://www.redfin.com/WA/Seattle/3656-36th-Ave-S-98144/home/69357069,47.5699099,-122.2881188
PAST SALE,September-16-2019,Single Family Residential,1019 S Cloverdale St,Seattle,WA,98108,412500,3,2.5,1320,3000,1998,247,313,,http://www.redfin.com/WA/Seattle/1019-S-Cloverdale-St-98108/home/477618,47.5262124,-122.319377
PAST SALE,January-14-2020,Single Family Residential,412 25th Ave E,Seattle,WA,98112,839000,3,2.5,1370,2500,1987,127,612,,http://www.redfin.com/WA/Seattle/412-25th-Ave-E-98112/home/146367,47.6231101,-122.2995436
PAST SALE,August-16-2019,Single Family Residential,5064 26th Ave SW,Seattle,WA,98106,569000,3,1.75,1410,4800,1986,278,404,,http://www.redfin.com/WA/Seattle/5064-26th-Ave-SW-98106/home/158909,47.5556075,-122.3652296
PAST SALE,December-20-2019,Single Family Residential,6729 20th Ave NW,Seattle,WA,98117,675000,3,2,1300,2550,1988,152,519,,http://www.redfin.com/WA/Seattle/6729-20th-Ave-NW-98117/home/165169,47.6785896,-122.382518
PAST SALE,January-30-2020,Single Family Residential,2601 SW Adams St,Seattle,WA,98126,592000,3,2.5,1390,2815,1999,111,426,,http://www.redfin.com/WA/Seattle/2601-SW-Adams-St-98126/home/18658274,47.565949,-122.365725
PAST SALE,August-30-2019,Single Family Residential,6755 18th Ave NW,Seattle,WA,98117,745000,3,2,1340,2550,1984,264,556,,http://www.redfin.com/WA/Seattle/6755-18th-Ave-NW-98117/home/163710,47.6793434,-122.3803001
PAST SALE,January-8-2020,Single Family Residential,6728 15th Ave NW,Seattle,WA,98117,599950,3,2.5,1478,518,2019,133,406,,http://www.redfin.com/WA/Seattle/6728-15th-Ave-NW-98117/home/170024088,47.678696,-122.3764485
PAST SALE,July-31-2019,Single Family Residential,3645 36th Ave S,Seattle,WA,98144,690000,3,1.75,1500,4445,1998,294,460,,http://www.redfin.com/WA/Seattle/3645-36th-Ave-S-98144/home/171301,47.5702417,-122.2885218
PAST SALE,October-31-2019,Single Family Residential,6734 15th Ave NW,Seattle,WA,98117,599950,3,2.5,1478,519,2019,202,406,,http://www.redfin.com/WA/Seattle/6734-15th-Ave-NW-98117/home/169053914,47.6787576,-122.3765795
PAST SALE,November-23-2019,Single Family Residential,6533 29th Ave S,Seattle,WA,98108,503000,3,2.5,1490,3231,2000,179,338,75,http://www.redfin.com/WA/Seattle/6533-29th-Ave-S-98108/home/478712,47.5434486,-122.2961061
PAST SALE,February-3-2020,Single Family Residential,6537 31st Ave S,Seattle,WA,98108,528000,3,2.5,1490,2720,2001,107,354,100,http://www.redfin.com/WA/Seattle/6537-31st-Ave-S-98108/home/479114,47.5432977,-122.2930181
PAST SALE,November-26-2019,Single Family Residential,4018 20th Ave SW,Seattle,WA,98106,965000,4,2.25,2337,3750,2013,176,413,,http://www.redfin.com/WA/Seattle/4018-20th-Ave-SW-98106/home/160594,47.5677257,-122.3588478
PAST SALE,June-7-2019,Single Family Residential,458 SW 111th Pl,Seattle,WA,98146,590000,4,2.5,1930,3848,2015,348,306,75,http://www.redfin.com/WA/Seattle/458-SW-111th-Pl-98146/home/39904651,47.5038497,-122.3407885
PAST SALE,October-18-2019,Single Family Residential,808 N 60th St,Seattle,WA,98103,1116000,4,2.5,2060,5000,2013,215,542,,http://www.redfin.com/WA/Seattle/808-N-60th-St-98103/home/39905050,47.6726213,-122.3479257
